10997,5,13,8.930233
10998,4,7,5.0
10999,5,7,5.6190476
22528,3,6,4.857143
22527,3,7,4.9130435
22525,4,6,4.8636365
63922,3,4,3.5
22523,4,6,4.869565
10990,4,7,5.7272725
10991,3,6,4.7826085
22522,4,6,4.869565
22521,3,6,4.7727275
10993,3,7,5.225806
10995,4,6,4.804878
10996,3,7,5.0555553
63916,4,6,5.0
22518,3,7,5.1034484
22515,2,5,3.4
22517,4,6,4.7586207
22516,4,6,4.8636365
22511,3,7,5.0
22510,3,6,4.5
22513,4,6,4.826087
22512,3,7,5.3157897
3,3,14,7.1965814
2,4,11,6.336
1,4,9,6.336066
7,5,7,6.0833335
6,3,7,5.4512196
5,5,8,6.6153846
4,3,11,6.1869917
9,4,13,5.875
8,4,9,5.5172415
22506,5,8,6.7619047
22505,4,7,5.521739
22504,4,7,5.7272725
22503,4,6,4.8636365
22509,4,6,4.952381
22507,4,5,4.5
22502,3,6,4.090909
22501,4,7,5.8055553
39624,3,7,5.5
35711,5,8,6.3809524
35713,6,9,7.6363635
39628,3,5,4.142857
10950,4,10,5.6923075
39629,3,12,4.448276
10952,5,7,5.818182
39626,5,8,6.571429
39627,4,8,6.347826
10951,4,7,5.7272725
10954,2,5,3.7362638
35718,4,7,5.3636365
10953,3,7,5.022222
35719,4,7,5.75
10955,4,7,5.521739
10958,4,6,4.869565
35714,4,10,5.32
10957,4,7,5.7727275
35716,4,7,5.6190476
35717,3,7,5.0
10959,4,7,5.4545455
39621,4,7,5.7272725
39620,5,9,6.818182
35701,4,7,5.5783134
39633,4,6,4.826087
39634,4,7,5.714286
39635,4,7,5.6976743
39636,4,7,4.9104476
35700,5,7,5.6190476
39637,3,6,4.767677
10962,4,6,4.8333335
39638,4,6,4.826087
10961,3,6,4.779412
10967,4,6,4.869565
10966,4,9,6.347826
35707,4,7,6.1363635
10965,4,12,7.4461536
10964,4,8,6.645161
35705,4,7,5.611111
35706,3,6,4.647541
35703,4,7,5.4
10969,3,7,5.0666666
10968,4,7,5.3913045
35704,4,7,5.2894735
39632,4,7,6.047619
39631,4,7,5.3636365
39606,4,7,6.0
10972,4,5,4.2
10971,5,8,6.3965516
39604,4,8,6.28
10974,4,7,5.5
10973,3,7,5.292308
39605,3,6,4.5731707
39602,4,8,6.0
39603,3,7,5.0
39600,3,7,4.939394
10970,3,6,4.791262
39601,4,7,5.5454545
10979,4,6,4.875
10975,4,6,4.866667
39608,4,9,5.593583
10978,4,7,5.4545455
39609,6,9,7.714286
10985,4,7,5.5
10984,4,7,5.7777777
39616,5,13,9.309524
39617,4,7,5.1363635
10982,4,7,5.4375
39611,4,8,5.990654
10981,4,6,4.8863635
10980,4,8,5.6865673
39612,4,7,5.372093
39613,4,7,5.345794
10987,4,7,5.590909
