"prefix","occurrence","percentage"
8,6,0.000561739895703626
9,24,0.0022469595828145
10,61,0.00571102227298686
11,185,0.0173203134508618
12,531,0.0497139807697709
13,1012,0.0947467957420116
14,2104,0.196983456760072
15,3585,0.335639587682917
16,27712,2.59448933162315
17,14728,1.3788841973205
18,24411,2.2854387656702
19,51469,4.81869844866165
20,74425,6.96791528962373
21,78324,7.33295259851513
22,116112,10.8707904616566
23,99572,9.32226081583357
24,569746,53.341509769593
25,497,0.0465307880274504
26,510,0.0477478911348082
27,768,0.0719027066500641
28,546,0.05111833050903
29,764,0.0715282133862617
30,643,0.0601997921562386
31,51,0.00477478911348082
32,324,0.0303339543679958
