"prefix","occurrence","percentage"
8,4,0.000765187049974366
9,12,0.0022955611499231
10,30,0.00573890287480775
11,92,0.0175993021494104
12,264,0.0505023452983082
13,500,0.0956483812467958
14,1003,0.191870652781072
15,1732,0.331325992638901
16,13055,2.49737923435384
17,7127,1.36337202629183
18,11876,2.27184035137389
19,24842,4.7521941738658
20,36224,6.92953392456786
21,38209,7.30925799811764
22,56477,10.8038672553506
23,49088,9.39037547728542
24,280365,53.6329168165158
25,291,0.0556673578856351
26,219,0.0418939909860966
27,207,0.0395984298361735
28,223,0.0426591780360709
29,173,0.0330943399113913
30,353,0.0675277571602378
31,56,0.0107126186996411
32,326,0.0623627445729108
