"prefix","occurrence","percentage"
8,9,0.000834594498353067
9,24,0.00222558532894151
10,61,0.00565669604439301
11,185,0.0171555535772575
12,533,0.0494265408469094
13,1007,0.0933818510935042
14,2076,0.192513130953441
15,3545,0.328737499629069
16,27588,2.55831033561827
17,14596,1.3535268108846
18,24316,2.25488886910591
19,51170,4.74513338674738
20,75491,7.00048591946349
21,79893,7.40869536188017
22,117867,10.9301277485979
23,101850,9.44482773969554
24,576381,53.4493790616932
25,231,0.0214212587910621
26,262,0.0242959731742782
27,402,0.0372785542597703
28,325,0.0301381346627496
29,253,0.0234613786759251
30,218,0.0202157334045521
32,85,0.00788228137333452
