"prefix","occurrence","percentage"
8,3,0.000576468553640399
9,12,0.0023058742145616
10,30,0.00576468553640399
11,92,0.0176783689783056
12,263,0.0505370765358083
13,501,0.0962702484579466
14,1012,0.194462058761361
15,1744,0.335120385849619
16,13077,2.5128264253185
17,7134,1.37084222055687
18,11846,2.27628216214139
19,24774,4.76047731596241
20,36047,6.92665398435849
21,37940,7.29040564170558
22,56037,10.767856113449
23,48612,9.34109644318903
24,278756,53.5646893795277
25,314,0.0603370419476951
26,364,0.0699448511750351
27,584,0.112219211775331
28,325,0.0624507599777099
29,696,0.133740704444573
30,232,0.0445802348148575
31,2,0.000384312369093599
32,13,0.0024980303991084
