"prefix","occurrence","percentage"
8,7,0.000668068337664643
9,24,0.0022905200148502
10,60,0.00572630003712551
11,180,0.0171789001113765
12,524,0.0500096869908961
13,1006,0.0960109639558044
14,2061,0.196698406275261
15,3446,0.328880498798909
16,26153,2.49599874784906
17,14300,1.36476817551491
18,23648,2.25692572129907
19,50148,4.7860415710295
20,73198,6.98589516862522
21,77468,7.39341685460065
22,113641,10.8457077086497
23,99132,9.46099292133877
24,560628,53.5054022868934
25,471,0.0449514552914353
26,517,0.0493416186532315
27,645,0.0615577253990992
28,423,0.0403704152617349
29,88,0.00839857338778408
30,22,0.00209964334694602
31,1,9.54383339520919e-05
32,6,0.000572630003712551
