"prefix","occurrence","percentage"
17,2,0.45662100456621
18,2,0.45662100456621
19,22,5.02283105022831
20,33,7.53424657534247
21,97,22.1461187214612
22,112,25.5707762557078
23,140,31.9634703196347
24,30,6.84931506849315
