#k; densidade da comunidade; media ODF da comunidade
4	0.04	1
5	0.05	0.99
5	1	0.38
6	0.06	0.98
6	1	0.25
7	0.06	0.98
7	0.96	0.28
8	0.07	0.98
9	0.07	0.97
10	0.08	0.96
10	0.97	0.19
11	0.11	0.93
11	1	0.14
12	0.16	0.88
12	1	0.17
12	1	0.2
13	0.27	0.79
13	0.99	0.11
13	1	0.14
13	1	0.1
14	0.42	0.67
15	0.63	0.52
16	0.84	0.31
16	0.91	0.18

