NAT,41,55
RS,1952,3081
DF,57,276
PR,33,903
VIX,71,153
CPV,23,36
LDA,8,231
SJC,0,36
SC,72,210
SJP,7,28
AME,7,10
MG,79,231
GYN,60,136
SP,319,95703
CGB,11,15
CE,104,253
BEL,22,78
MGF,23,105
SCA,2,3
CAS,76,300
CXJ,5,6
LAJ,4,10
PE,28,55
RJ,271,1275
MAO,11,15
BA,85,231
