NAT,45,55
RS,872,1830
CE,95,231
DF,138,351
PR,79,1326
VIX,72,153
BEL,20,91
CPV,53,66
LDA,29,253
MGF,24,120
SJC,11,45
SC,115,276
CAS,82,300
CXJ,6,6
LAJ,5,15
PE,40,66
RJ,584,2278
SJP,18,28
MAO,4,15
MG,105,231
GYN,54,120
SP,429,161028
BA,97,300
