3549	1.1
8167	1.1
18881	1.1
22689	1.1
28573	1.1
262354	1.1
262589	1.1
11835	1.2
14840	1.2
14868	1.2
25933	1.2
28202	1.2
28267	1.2
28279	1.2
28299	1.2
28303	1.2
28343	1.2
28591	1.2
52987	1.2
53062	1.2
53189	1.2
262812	1.2
262847	1.2
262970	1.2
263055	1.2
263512	1.2
263542	1.2
12140	2.2
14282	2.2
22356	2.2
28271	2.2
52976	2.2
262778	2.2
262790	2.2
28193	3.1
53046	3.1
263076	3.1
1916	3.2
10412	3.2
10881	3.2
11644	3.2
14026	3.2
14650	3.2
19723	3.2
28286	3.2
53235	3.2
11751	3.3
20144	3.3
13522	4.1
23128	4.2
28663	4.2
52519	4.2
52577	4.2
262318	4.2
262348	4.2
262725	4.2
263281	4.2
263083	4.3
