"prefix","occurrence","percentage"
11,5,0.00799513895551505
12,10,0.0159902779110301
16,3,0.00479708337330903
19,6,0.00959416674661806
20,21,0.0335795836131632
21,9,0.0143912501199271
22,12,0.0191883334932361
23,12,0.0191883334932361
24,42,0.0671591672263264
25,15,0.0239854168665451
26,42,0.0671591672263264
27,60,0.0959416674661806
28,183,0.292622085771851
29,1657,2.64958904985769
30,259,0.414148197895679
31,177,0.283027919025233
32,19290,30.845246090377
33,824,1.31759889986888
34,456,0.729156672742972
35,628,1.00418945281269
36,2386,3.81528030957178
37,150,0.239854168665451
38,504,0.805910006715917
39,186,0.29741916914516
40,3526,5.63817199142921
41,347,0.554862643512744
42,551,0.881064312897758
43,102,0.163100834692507
44,2550,4.07752086731267
45,296,0.473312226166491
46,1066,1.70456362531581
47,477,0.762736256356136
48,26552,42.4573859093671
49,11,0.0175893057021331
52,3,0.00479708337330903
62,3,0.00479708337330903
64,117,0.187086251559052
