"prefix","occurrence","percentage"
11,3,0.013713658804169
16,1,0.00457121960138965
19,2,0.0091424392027793
20,7,0.0319985372097276
21,3,0.013713658804169
22,4,0.0182848784055586
23,4,0.0182848784055586
24,14,0.0639970744194551
25,5,0.0228560980069483
26,14,0.0639970744194551
27,20,0.091424392027793
28,60,0.274273176083379
29,555,2.53702687877126
30,90,0.411409764125069
31,60,0.274273176083379
32,6877,31.4362771987566
33,397,1.81477418175169
34,202,0.923386359480709
35,254,1.16108977875297
36,869,3.97238983360761
37,55,0.251417078076431
38,167,0.763393673432072
39,62,0.283415615286158
40,1263,5.77345035655513
41,133,0.607972206984824
42,215,0.982812214298775
43,34,0.155421466447248
44,864,3.94953373560066
45,99,0.452550740537575
46,358,1.63649661729749
47,158,0.722252697019565
48,9005,41.1638325105138
49,10,0.0457121960138965
64,12,0.0548546352166758
