"prefix","occurrence","percentage"
0,1,0.00450572226727944
11,3,0.0135171668018383
12,16,0.0720915562764711
16,1,0.00450572226727944
19,2,0.00901144453455889
20,7,0.0315400558709561
21,3,0.0135171668018383
22,4,0.0180228890691178
23,4,0.0180228890691178
24,14,0.0630801117419122
25,5,0.0225286113363972
26,14,0.0630801117419122
27,20,0.0901144453455889
28,61,0.274849058304046
29,555,2.50067585834009
30,91,0.410020726322429
31,62,0.279354780571326
32,6985,31.4724700369469
33,356,1.60403712715148
34,213,0.959718842930522
35,254,1.14445345588898
36,929,4.1858159863026
37,50,0.225286113363972
38,168,0.756961340902947
39,62,0.279354780571326
40,1251,5.63665855636659
41,124,0.558709561142651
42,215,0.968730287465081
43,34,0.153194557087501
44,972,4.37956204379562
45,120,0.540686672073533
46,357,1.60854284941876
47,168,0.756961340902947
48,9013,40.6100747949896
49,9,0.040551500405515
52,3,0.0135171668018383
62,1,0.00450572226727944
64,47,0.211768946562134
