"prefix","occurrence","percentage"
0,3,0.001445804035721
11,14,0.00674708550003133
12,230,0.110844976071943
16,10,0.00481934678573666
19,20,0.00963869357147332
20,70,0.0337354275001566
21,30,0.01445804035721
22,40,0.0192773871429466
23,40,0.0192773871429466
24,140,0.0674708550003133
25,51,0.024578668607257
26,139,0.0669889203217396
27,198,0.0954230663575859
28,606,0.292052415215642
29,5460,2.63136334501222
30,862,0.4154276929305
31,556,0.267955681286958
32,64262,30.9700863145009
33,2663,1.28339204904167
34,1604,0.77302322443216
35,2116,1.01977377986188
36,8012,3.86126064473221
37,498,0.240003469929686
38,1675,0.807240586610891
39,615,0.296389827322805
40,11626,5.60297257309744
41,1170,0.563863573931189
42,1619,0.780252244610765
43,340,0.163857790715046
44,8480,4.08680607430469
45,992,0.478079201145077
46,3544,1.70797650086507
47,1574,0.75856518407495
48,87755,42.2921777182321
49,40,0.0192773871429466
50,2,0.000963869357147332
52,12,0.00578321614288399
56,8,0.00385547742858933
62,8,0.00385547742858933
64,413,0.199039022250924
