NAT,51,66
RS,2699,5253
CE,90,210
DF,86,325
PR,93,1540
VIX,118,190
BEL,23,91
CPV,81,91
LDA,35,351
MGF,50,190
SJC,18,45
SC,116,276
SCA,3,3
CAS,37,136
CXJ,5,6
LAJ,29,45
PE,124,190
RJ,803,3160
SJP,31,45
MAO,5,15
MG,76,253
GYN,45,120
SP,476,185136
BA,94,300
